timestamp,code,value,volume,turn
2020-03-12,300462,26.12,3804090,4.9166
2020-03-13,300462,25.08,4539273,5.8668
2020-03-16,300462,23.27,4343705,5.614
2020-03-17,300462,22.9,2812469,3.635
2020-03-18,300462,22.34,3082300,3.9837
2020-03-19,300462,22.7,2602300,3.3633
2020-03-20,300462,22.74,2133500,2.7574
2020-03-23,300462,21.1,2994480,3.8702
2020-03-24,300462,21.8,2385700,3.0834
2020-03-25,300462,22.14,2380200,3.0763
2020-03-26,300462,21.84,1662500,2.1487
2020-03-27,300462,21.81,1422100,1.838
2020-03-30,300462,20.96,2483884,3.2103
